date,exists,filename,version,revision,n_lpw_l2_files,status
2015-02-17,yes,mvn_lpw_l2_mrgscpot_20150217_v02_r02.cdf,2,2,10,ok
2015-02-18,yes,mvn_lpw_l2_mrgscpot_20150218_v02_r02.cdf,2,2,10,ok
2015-02-19,yes,mvn_lpw_l2_mrgscpot_20150219_v02_r02.cdf,2,2,10,ok
2015-02-20,yes,mvn_lpw_l2_mrgscpot_20150220_v02_r02.cdf,2,2,7,ok
2015-02-21,yes,mvn_lpw_l2_mrgscpot_20150221_v02_r02.cdf,2,2,7,ok
2015-02-22,yes,mvn_lpw_l2_mrgscpot_20150222_v02_r02.cdf,2,2,10,ok
2015-02-23,yes,mvn_lpw_l2_mrgscpot_20150223_v02_r02.cdf,2,2,7,ok
2015-02-24,yes,mvn_lpw_l2_mrgscpot_20150224_v02_r02.cdf,2,2,7,ok
2015-02-25,yes,mvn_lpw_l2_mrgscpot_20150225_v02_r02.cdf,2,2,7,ok
2015-02-26,yes,mvn_lpw_l2_mrgscpot_20150226_v02_r02.cdf,2,2,10,ok
2015-02-27,yes,mvn_lpw_l2_mrgscpot_20150227_v02_r02.cdf,2,2,10,ok
2015-02-28,yes,mvn_lpw_l2_mrgscpot_20150228_v02_r02.cdf,2,2,7,ok
2015-03-01,yes,mvn_lpw_l2_mrgscpot_20150301_v02_r02.cdf,2,2,7,ok
2015-03-02,yes,mvn_lpw_l2_mrgscpot_20150302_v02_r02.cdf,2,2,7,ok
2015-03-03,yes,mvn_lpw_l2_mrgscpot_20150303_v02_r02.cdf,2,2,10,ok
2015-03-04,yes,mvn_lpw_l2_mrgscpot_20150304_v02_r02.cdf,2,2,10,ok
2015-03-05,yes,mvn_lpw_l2_mrgscpot_20150305_v02_r02.cdf,2,2,10,ok
2015-03-06,yes,mvn_lpw_l2_mrgscpot_20150306_v02_r02.cdf,2,2,10,ok
2015-03-07,yes,mvn_lpw_l2_mrgscpot_20150307_v02_r02.cdf,2,2,7,ok
2015-03-08,yes,mvn_lpw_l2_mrgscpot_20150308_v02_r02.cdf,2,2,10,ok
2015-03-09,yes,mvn_lpw_l2_mrgscpot_20150309_v02_r02.cdf,2,2,10,ok
2015-03-10,yes,mvn_lpw_l2_mrgscpot_20150310_v02_r02.cdf,2,2,7,ok
2015-03-11,yes,mvn_lpw_l2_mrgscpot_20150311_v02_r02.cdf,2,2,7,ok
2015-03-12,yes,mvn_lpw_l2_mrgscpot_20150312_v02_r02.cdf,2,2,7,ok
2015-03-13,yes,mvn_lpw_l2_mrgscpot_20150313_v02_r02.cdf,2,2,7,ok
2015-03-14,yes,mvn_lpw_l2_mrgscpot_20150314_v02_r02.cdf,2,2,7,ok
2015-03-15,yes,mvn_lpw_l2_mrgscpot_20150315_v02_r02.cdf,2,2,7,ok
2015-03-16,yes,mvn_lpw_l2_mrgscpot_20150316_v02_r02.cdf,2,2,10,ok
2015-03-17,yes,mvn_lpw_l2_mrgscpot_20150317_v02_r02.cdf,2,2,7,ok
2015-03-18,yes,mvn_lpw_l2_mrgscpot_20150318_v02_r02.cdf,2,2,10,ok
2015-03-19,yes,mvn_lpw_l2_mrgscpot_20150319_v02_r02.cdf,2,2,10,ok
2015-03-20,yes,mvn_lpw_l2_mrgscpot_20150320_v02_r02.cdf,2,2,10,ok
2015-03-21,yes,mvn_lpw_l2_mrgscpot_20150321_v02_r02.cdf,2,2,10,ok
2015-03-22,yes,mvn_lpw_l2_mrgscpot_20150322_v02_r02.cdf,2,2,7,ok
2015-03-23,yes,mvn_lpw_l2_mrgscpot_20150323_v02_r02.cdf,2,2,10,ok
2015-03-24,yes,mvn_lpw_l2_mrgscpot_20150324_v02_r02.cdf,2,2,10,ok
2015-03-25,yes,mvn_lpw_l2_mrgscpot_20150325_v02_r02.cdf,2,2,7,ok
2015-03-26,yes,mvn_lpw_l2_mrgscpot_20150326_v02_r02.cdf,2,2,10,ok
2015-03-27,yes,mvn_lpw_l2_mrgscpot_20150327_v02_r02.cdf,2,2,10,ok
2015-03-28,yes,mvn_lpw_l2_mrgscpot_20150328_v02_r02.cdf,2,2,10,ok
2015-03-29,yes,mvn_lpw_l2_mrgscpot_20150329_v02_r02.cdf,2,2,10,ok
